Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
Be-Be,0.47013977128335455,0.0,0.23506988564167727,1.715846994535519,0.0,0.8579234972677595,-0.246,0.0,1.722828037434779,0.0,0.8614140187173895,0.3076923076923077,0.0,0.15384615384615385,1.7777777777777777,0.0,0.8888888888888888,0.214,0.0,0.288,0.0,-0.016,0.0,0.5,0.0,0.25,0.062
Be-B,0.5324015247776365,0.062261753494282056,0.26620076238881824,1.9726775956284155,0.2568306010928961,0.9863387978142077,-0.258,0.0040000000000000036,2.1590149904756646,0.4361869530408856,1.0795074952378323,0.34615384615384615,0.038461538461538464,0.17307692307692307,1.6666666666666667,0.1111111111111111,0.8333333333333334,0.27899999999999997,0.06499999999999999,0.46699999999999997,0.17900000000000002,-0.07300000000000001,0.057,0.625,0.125,0.3125,0.057
Be-Al,0.5781448538754765,0.10800508259212199,0.28907242693773827,1.7377049180327868,0.021857923497267777,0.8688524590163934,-0.191,0.05299999999999999,1.3768174916489522,0.34601054578582674,0.6884087458244761,0.6538461538461539,0.34615384615384615,0.3269230769230769,2.0238095238095237,0.24603174603174602,1.0119047619047619,0.45599999999999996,0.242,0.16399999999999998,0.12399999999999999,0.054,0.07,0.625,0.125,0.3125,0.108
Be-Si,0.5310800508259212,0.060940279542566714,0.2655400254129606,1.896174863387978,0.18032786885245894,0.948087431693989,-0.203,0.03899999999999999,1.7929492311514783,0.07012119371669934,0.8964746155757392,0.6923076923076923,0.38461538461538464,0.34615384615384615,1.9841269841269842,0.20634920634920634,0.9920634920634921,0.40199999999999997,0.188,0.269,0.01899999999999999,-0.004,0.012,0.75,0.25,0.375,0.012
Be-P,0.576874205844981,0.10673443456162642,0.2884371029224905,2.054644808743169,0.3387978142076502,1.0273224043715845,-0.179,0.07300000000000001,1.2419181183226127,0.48090991911216635,0.6209590591613063,0.7307692307692307,0.4230769230769231,0.36538461538461536,1.9047619047619047,0.12698412698412698,0.9523809523809523,0.476,0.262,0.4,0.11200000000000002,-0.029,0.013000000000000001,0.875,0.375,0.4375,-0.032
Be-S,0.49809402795425667,0.02795425667090213,0.24904701397712833,2.26775956284153,0.5519125683060109,1.133879781420765,-0.11900000000000001,0.15300000000000002,1.0758413162907545,0.6469867211440244,0.5379206581453773,0.7692307692307693,0.46153846153846156,0.38461538461538464,1.8968253968253967,0.11904761904761904,0.9484126984126984,0.6799999999999999,0.46599999999999997,0.521,0.233,-0.004,0.012,1.0,0.5,0.5,0.078
Be-Sc,0.6149936467598475,0.14485387547649303,0.30749682337992373,1.6010928961748634,0.11475409836065571,0.8005464480874317,-0.648,0.374,1.8630704248681778,0.14024238743339867,0.9315352124340889,0.9615384615384616,0.6538461538461539,0.4807692307692308,2.1746031746031744,0.3968253968253968,1.0873015873015872,0.816,0.602,0.022999999999999993,0.265,0.07200000000000001,0.088,0.625,0.125,0.3125,0.127
Be-Ti,0.8076238881829733,0.3374841168996188,0.40381194409148663,1.6994535519125684,0.016393442622950834,0.8497267759562842,-1.053,0.791,1.9342958893520692,0.21146785191729012,0.9671479446760346,1.0,0.6923076923076923,0.5,2.0555555555555554,0.2777777777777778,1.0277777777777777,0.368,0.15400000000000003,-0.016000000000000014,0.304,0.008,0.024,0.75,0.25,0.375,-0.028
Be-V,0.9974587039390088,0.5273189326556544,0.4987293519695044,1.7486338797814207,0.032786885245901544,0.8743169398907104,-1.522,1.272,2.066808381415123,0.34398034398034394,1.0334041907075615,1.0384615384615385,0.7307692307692307,0.5192307692307693,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.163,0.051,0.057999999999999996,0.22999999999999998,-0.016,0.0,0.875,0.375,0.4375,-0.1
Be-Cr,1.1435832274459974,0.673443456162643,0.5717916137229987,1.7650273224043715,0.04918032786885238,0.8825136612021858,-2.037,1.8010000000000002,2.065151975264335,0.3423239378295558,1.0325759876321674,1.0769230769230769,0.7692307692307693,0.5384615384615384,1.9047619047619047,0.12698412698412698,0.9523809523809523,0.157,0.056999999999999995,0.149,0.13899999999999998,-0.01,0.006,1.0,0.5,0.5,-0.089
Be-Mn,1.1626429479034308,0.6925031766200761,0.5813214739517154,1.7049180327868851,0.010928961748633888,0.8524590163934426,-2.603,2.379,1.7001904867073407,0.022637550727438366,0.8500952433536704,1.1153846153846154,0.8076923076923077,0.5576923076923077,1.8968253968253967,0.11904761904761904,0.9484126984126984,0.239,0.02500000000000001,0.238,0.04999999999999999,0.011,0.027,1.125,0.625,0.5625,0.004
Be-Co,1.3608640406607369,0.8907242693773825,0.6804320203303684,1.8852459016393444,0.16939890710382505,0.9426229508196722,1.539,1.801,1.837672197222759,0.11484415978798,0.9188360986113795,1.1923076923076923,0.8846153846153846,0.5961538461538461,1.880952380952381,0.10317460317460317,0.9404761904761905,0.097,0.11699999999999999,0.257,0.030999999999999986,0.008,0.024,1.375,0.875,0.6875,-0.009
Be-Ni,1.3659466327827192,0.8958068614993647,0.6829733163913596,1.901639344262295,0.18579234972677588,0.9508196721311475,0.701,0.951,1.8155867818789166,0.0927587444441377,0.9077933909394583,1.2307692307692308,0.9230769230769231,0.6153846153846154,1.873015873015873,0.09523809523809523,0.9365079365079365,0.212,0.0020000000000000018,0.364,0.07600000000000001,0.038,0.054,1.5,1.0,0.75,0.049
Be-Cu,1.3735705209656925,0.9034307496823382,0.6867852604828463,1.896174863387978,0.18032786885245894,0.948087431693989,-0.007999999999999993,0.242,1.611086878502609,0.11174115893217022,0.8055434392513044,1.2692307692307692,0.9615384615384616,0.6346153846153846,1.9047619047619047,0.12698412698412698,0.9523809523809523,0.361,0.14700000000000002,0.363,0.07500000000000001,0.046,0.062,1.625,1.125,0.8125,0.187
Be-Zn,1.1415501905972045,0.6714104193138501,0.5707750952986023,1.7595628415300544,0.043715846994535436,0.8797814207650272,-0.196,0.05,1.243865499820556,0.4789625376142231,0.621932749910278,1.3076923076923077,1.0,0.6538461538461539,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.434,0.22000000000000003,0.256,0.03199999999999999,0.034999999999999996,0.051,1.75,1.25,0.875,0.135
Be-Ga,0.9860228716645488,0.5158831003811944,0.4930114358322744,1.8469945355191255,0.13114754098360654,0.9234972677595628,-0.28300000000000003,0.03900000000000001,1.0286638875852359,0.6941641498495431,0.5143319437926179,1.3461538461538463,1.0384615384615385,0.6730769230769231,2.0,0.2222222222222222,1.0,0.51,0.29600000000000004,0.237,0.05099999999999999,0.032,0.048,0.625,0.125,0.3125,0.102
Be-Ge,0.9114866581956799,0.4413468869123253,0.45574332909783993,1.9562841530054644,0.2404371584699452,0.9781420765027322,-0.23099999999999998,0.010999999999999996,1.5302708224056538,0.19255721502912512,0.7651354112028269,1.3846153846153846,1.0769230769230769,0.6923076923076923,2.0317460317460316,0.25396825396825395,1.0158730158730158,0.5740000000000001,0.36000000000000004,0.302,0.014000000000000012,0.023,0.039,0.75,0.25,0.375,0.06
Be-As,0.96569250317662,0.49555273189326554,0.48284625158831,2.0491803278688523,0.33333333333333337,1.0245901639344261,-0.19,0.057999999999999996,1.4633244071446319,0.2595036302901471,0.7316622035723159,1.4230769230769231,1.1153846153846154,0.7115384615384616,2.0634920634920637,0.2857142857142857,1.0317460317460319,0.643,0.42900000000000005,0.372,0.08400000000000002,0.002999999999999999,0.019,0.875,0.375,0.4375,-0.001
Be-Se,0.8473951715374841,0.37725540025412957,0.42369758576874206,2.251366120218579,0.5355191256830599,1.1256830601092895,-0.14200000000000002,0.114,1.1342517185213814,0.5885763189133976,0.5671258592606907,1.4615384615384615,1.1538461538461537,0.7307692307692307,2.0,0.2222222222222222,1.0,0.782,0.5680000000000001,0.45199999999999996,0.164,0.006,0.022,1.0,0.5,0.5,0.018
Be-Zr,1.0635324015247776,0.5933926302414231,0.5317662007623888,1.5846994535519128,0.13114754098360654,0.7923497267759564,-0.5549999999999999,0.289,2.0358887999337436,0.31306076249896475,1.0179443999668718,1.6923076923076923,1.3846153846153846,0.8461538461538461,2.1587301587301586,0.38095238095238093,1.0793650793650793,0.852,0.638,0.05299999999999999,0.235,0.057,0.07300000000000001,0.75,0.25,0.375,0.052
Be-Nb,1.3240152477763658,0.8538754764930115,0.6620076238881829,1.7322404371584699,0.016393442622950834,0.8661202185792349,-0.842,0.588,2.3798691439140875,0.6570411064793087,1.1899345719570438,1.7307692307692308,1.4230769230769231,0.8653846153846154,2.0476190476190474,0.2698412698412698,1.0238095238095237,0.502,0.28800000000000003,0.0020000000000000018,0.286,0.045,0.061,0.875,0.375,0.4375,-0.03
Be-Mo,1.531130876747141,1.0609911054637864,0.7655654383735705,2.038251366120219,0.3224043715846995,1.0191256830601094,-0.916,0.676,2.4599287745355163,0.7371007371007371,1.2299643872677581,1.7692307692307692,1.4615384615384615,0.8846153846153846,1.992063492063492,0.21428571428571427,0.996031746031746,0.277,0.06300000000000001,0.026999999999999982,0.261,0.018,0.034,1.0,0.5,0.5,-0.085
Be-Ru,1.772554002541296,1.3024142312579414,0.886277001270648,2.0601092896174866,0.34426229508196726,1.0300546448087433,0.054000000000000006,0.28400000000000003,2.3003616486762555,0.5775336112414764,1.1501808243381277,1.8461538461538463,1.5384615384615385,0.9230769230769231,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.22899999999999998,0.015,0.16099999999999998,0.127,0.039,0.055,1.25,0.75,0.625,0.007
Be-Rh,1.8106734434561627,1.3405336721728083,0.9053367217280813,2.1038251366120218,0.38797814207650255,1.0519125683060109,0.487,0.731,2.096071556745714,0.373243519310935,1.048035778372857,1.8846153846153846,1.5769230769230769,0.9423076923076923,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.264,0.05,0.254,0.03399999999999999,0.058,0.07400000000000001,1.375,0.875,0.6875,0.089
Be-Pd,1.7598475222363406,1.289707750952986,0.8799237611181703,2.0601092896174866,0.34426229508196726,1.0300546448087433,0.22799999999999998,0.474,1.8706898931618035,0.14786185572702423,0.9353449465809017,1.9230769230769231,1.6153846153846154,0.9615384615384616,1.9761904761904763,0.1984126984126984,0.9880952380952381,0.40099999999999997,0.187,0.361,0.07300000000000001,0.098,0.11399999999999999,1.5,1.0,0.75,0.152
Be-Sn,1.1609911054637865,0.690851334180432,0.5804955527318932,1.92896174863388,0.2131147540983606,0.96448087431694,-0.298,0.057999999999999996,1.1402865582640862,0.5825414791706928,0.5701432791320431,2.076923076923077,1.7692307692307692,1.0384615384615385,2.1825396825396823,0.40476190476190477,1.0912698412698412,0.865,0.651,0.258,0.029999999999999985,0.101,0.11699999999999999,0.75,0.25,0.375,0.157
Be-Sb,1.0838627700127064,0.613722998729352,0.5419313850063532,1.9781420765027322,0.26229508196721296,0.9890710382513661,-0.208,0.034,1.3604218314330672,0.36240620600171164,0.6802109157165336,2.1153846153846154,1.8076923076923077,1.0576923076923077,2.2063492063492065,0.42857142857142855,1.1031746031746033,0.856,0.642,0.275,0.012999999999999984,0.05,0.066,0.875,0.375,0.4375,0.049
Be-Te,1.0269377382465057,0.5567979669631512,0.5134688691232528,2.0054644808743167,0.2896174863387978,1.0027322404371584,-0.191,0.056999999999999995,1.2604201750269166,0.46240786240786247,0.6302100875134583,2.1538461538461537,1.8461538461538463,1.0769230769230769,2.1587301587301586,0.38095238095238093,1.0793650793650793,0.908,0.6940000000000001,0.33999999999999997,0.05200000000000002,0.023,0.039,1.0,0.5,0.5,-0.014
Be-Hf,1.9250317662007623,1.454891994917408,0.9625158831003812,1.5683060109289617,0.14754098360655737,0.7841530054644809,-0.675,0.41100000000000003,2.2451481103166495,0.5223200728818707,1.1225740551583248,2.923076923076923,2.6153846153846154,1.4615384615384615,2.1507936507936507,0.373015873015873,1.0753968253968254,0.753,0.539,-0.0040000000000000036,0.292,0.065,0.08099999999999999,0.75,0.25,0.375,0.046
Be-Ta,2.318932655654384,1.848792884371029,1.159466327827192,1.6775956284153006,0.038251366120218615,0.8387978142076503,-0.868,0.618,2.678022251055959,0.9551942136211798,1.3390111255279795,2.9615384615384617,2.6538461538461537,1.4807692307692308,2.0476190476190474,0.2698412698412698,1.0238095238095237,0.428,0.21400000000000002,-0.036000000000000004,0.32399999999999995,0.032,0.048,0.875,0.375,0.4375,-0.066
Be-W,2.6874205844980943,2.2172808132147392,1.3437102922490471,1.7868852459016393,0.07103825136612016,0.8934426229508197,-0.865,0.631,2.897219998343594,1.1743919609088147,1.448609999171797,3.0,2.6923076923076925,1.5,1.992063492063492,0.21428571428571427,0.996031746031746,0.236,0.022000000000000006,-0.0050000000000000044,0.293,0.008,0.024,1.0,0.5,0.5,-0.125
