Elements,Density_1,Density_2,Melting_1,Melting_2,Number_1,Number_2,Eneg_1,Eneg_2,Valence_1,Valence_2,Radius_1,Radius_2,Magnetic_1,Magnetic_2,Vacancy_11,Vacancy_12,Vacancy_13,Vacancy_21,Vacancy_22,Vacancy_23,Density_Fe,Melting_Fe,Eneg_Fe,Number_Fe,Radius_Fe,Valence_Fe,Distance_sub_sub,Energy_binding
Be-Be,1.85,1.85,1560.15,1560.15,4,4,1.57,1.57,2,2,112.0,112.0,-0.123,-0.123,0.107,0.144,-0.008,0.107,0.144,-0.008,7.87,1811.15,1.83,26,126.0,8,2.4383678444855983,0.062
Be-B,1.85,2.34,1560.15,2350.15,4,5,1.57,2.04,2,3,112.0,98.0,-0.127,-0.131,0.107,0.144,-0.008,0.172,0.323,-0.065,7.87,1811.15,1.83,26,126.0,8,2.6670042799796434,0.057
Be-Al,1.85,2.7,1560.15,933.473,4,13,1.57,1.61,2,3,112.0,143.0,-0.122,-0.069,0.107,0.144,-0.008,0.349,0.02,0.062,7.87,1811.15,1.83,26,126.0,8,2.5418436512427625,0.108
Be-Si,1.85,2.3296,1560.15,1687.15,4,14,1.57,1.9,2,4,112.0,138.0,-0.121,-0.082,0.107,0.144,-0.008,0.295,0.125,0.004,7.87,1811.15,1.83,26,126.0,8,2.532471073598281,0.012
Be-P,1.85,2.69,1560.15,689.15,4,15,1.57,2.19,2,5,112.0,128.0,-0.126,-0.053,0.107,0.144,-0.008,0.369,0.256,-0.021,7.87,1811.15,1.83,26,126.0,8,2.6004732672122226,-0.032
Be-S,1.85,2.07,1560.15,388.36,4,16,1.57,2.58,2,6,112.0,127.0,-0.136,0.017,0.107,0.144,-0.008,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,2.8177419401138883,0.078
Be-Sc,1.85,2.99,1560.15,1814.15,4,21,1.57,1.36,2,3,112.0,162.0,-0.137,-0.511,0.107,0.144,-0.008,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.628783586866168,0.127
Be-Ti,1.85,4.506,1560.15,1943.15,4,22,1.57,1.54,2,4,112.0,147.0,-0.131,-0.922,0.107,0.144,-0.008,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.587915473330284,-0.028
Be-V,1.85,6.0,1560.15,2183.15,4,23,1.57,1.63,2,5,112.0,134.0,-0.125,-1.397,0.107,0.144,-0.008,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.543216411854037,-0.1
Be-Cr,1.85,7.15,1560.15,2180.15,4,24,1.57,1.66,2,6,112.0,128.0,-0.118,-1.919,0.107,0.144,-0.008,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.5267388167708806,-0.089
Be-Mn,1.85,7.3,1560.15,1519.15,4,25,1.57,1.55,2,7,112.0,127.0,-0.112,-2.491,0.107,0.144,-0.008,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.5204104275972767,0.004
Be-Co,1.85,8.86,1560.15,1768.15,4,27,1.57,1.88,2,9,112.0,125.0,-0.131,1.67,0.107,0.144,-0.008,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4119661188679924,-0.009
Be-Ni,1.85,8.9,1560.15,1728.15,4,28,1.57,1.91,2,10,112.0,124.0,-0.125,0.826,0.107,0.144,-0.008,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.41543061746773,0.049
Be-Cu,1.85,8.96,1560.15,1357.77,4,29,1.57,1.9,2,11,112.0,128.0,-0.125,0.117,0.107,0.144,-0.008,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.4112749244537506,0.187
Be-Zn,1.85,7.134,1560.15,692.6769999999999,4,30,1.57,1.65,2,12,112.0,134.0,-0.123,-0.073,0.107,0.144,-0.008,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.4892395812083965,0.135
Be-Ga,1.85,5.91,1560.15,302.91459999999995,4,31,1.57,1.81,2,3,112.0,140.0,-0.122,-0.161,0.107,0.144,-0.008,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.5472981324408033,0.102
Be-Ge,1.85,5.3234,1560.15,1211.4,4,32,1.57,2.01,2,4,112.0,144.0,-0.121,-0.11,0.107,0.144,-0.008,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.5734792042183745,0.06
Be-As,1.85,5.75,1560.15,1090.15,4,33,1.57,2.18,2,5,112.0,148.0,-0.124,-0.066,0.107,0.144,-0.008,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.6161197311834847,-0.001
Be-Se,1.85,4.819,1560.15,494.15,4,34,1.57,2.55,2,6,112.0,140.0,-0.128,-0.014,0.107,0.144,-0.008,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.690706021852283,0.018
Be-Zr,1.85,6.52,1560.15,2127.15,4,40,1.57,1.33,2,4,112.0,160.0,-0.133,-0.422,0.107,0.144,-0.008,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.661386441556526,0.052
Be-Nb,1.85,8.57,1560.15,2750.15,4,41,1.57,1.6,2,5,112.0,146.0,-0.127,-0.715,0.107,0.144,-0.008,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6206244937693066,-0.03
Be-Mo,1.85,10.2,1560.15,2895.15,4,42,1.57,2.16,2,6,112.0,139.0,-0.12,-0.796,0.107,0.144,-0.008,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.5721594692609666,-0.085
Be-Ru,1.85,12.1,1560.15,2606.15,4,44,1.57,2.2,2,8,112.0,134.0,-0.115,0.169,0.107,0.144,-0.008,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.4487398101662086,0.007
Be-Rh,1.85,12.4,1560.15,2236.15,4,45,1.57,2.28,2,9,112.0,134.0,-0.122,0.609,0.107,0.144,-0.008,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.4311070491642592,0.089
Be-Pd,1.85,12.0,1560.15,1827.9499999999998,4,46,1.57,2.2,2,10,112.0,137.0,-0.123,0.351,0.107,0.144,-0.008,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.445762341131519,0.152
Be-Sn,1.85,7.287,1560.15,505.08,4,50,1.57,1.96,2,4,112.0,163.0,-0.12,-0.178,0.107,0.144,-0.008,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.6289372547756695,0.157
Be-Sb,1.85,6.68,1560.15,903.778,4,51,1.57,2.05,2,5,112.0,166.0,-0.121,-0.087,0.107,0.144,-0.008,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.6499287908872,0.049
Be-Te,1.85,6.232,1560.15,722.66,4,52,1.57,2.1,2,6,112.0,160.0,-0.124,-0.067,0.107,0.144,-0.008,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.6837538201467277,-0.014
Be-Hf,1.85,13.3,1560.15,2506.15,4,72,1.57,1.3,2,4,112.0,159.0,-0.132,-0.543,0.107,0.144,-0.008,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6534502132485103,0.046
Be-Ta,1.85,16.4,1560.15,3290.15,4,73,1.57,1.5,2,5,112.0,146.0,-0.125,-0.743,0.107,0.144,-0.008,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.61852441487971,-0.066
Be-W,1.85,19.3,1560.15,3687.15,4,74,1.57,1.7,2,6,112.0,139.0,-0.117,-0.748,0.107,0.144,-0.008,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.57385684239743,-0.125
Be-Re,1.85,20.8,1560.15,3458.15,4,75,1.57,1.9,2,7,112.0,137.0,-0.11,-0.598,0.107,0.144,-0.008,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.527832689789162,-0.122
Be-Os,1.85,22.5872,1560.15,3306.15,4,76,1.57,2.2,2,8,112.0,135.0,-0.107,-0.194,0.107,0.144,-0.008,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.464976642548542,-0.051
Be-Ir,1.85,22.5622,1560.15,2719.15,4,77,1.57,2.2,2,9,112.0,136.0,-0.113,0.428,0.107,0.144,-0.008,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.426595063406704,0.057
Be-Pt,1.85,21.5,1560.15,2041.35,4,78,1.57,2.2,2,10,112.0,139.0,-0.118,0.371,0.107,0.144,-0.008,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.4379119697125384,0.118
Be-Au,1.85,19.3,1560.15,1337.33,4,79,1.57,2.4,2,11,112.0,144.0,-0.119,0.14,0.107,0.144,-0.008,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.4769106646953447,0.208
Be-U,1.85,19.1,1560.15,1408.15,4,92,1.57,1.7,2,6,112.0,170.0,-0.122,-1.357,0.107,0.144,-0.008,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.7932323937670014,-0.152
Be-Np,1.85,20.2,1560.15,917.15,4,93,1.57,1.3,2,7,112.0,171.0,-0.124,-2.792,0.107,0.144,-0.008,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.745714029350026,-0.13
B-B,2.34,2.34,2350.15,2350.15,5,5,2.04,2.04,3,3,98.0,98.0,-0.146,-0.146,0.172,0.323,-0.065,0.172,0.323,-0.065,7.87,1811.15,1.83,26,126.0,8,3.14062965769502,0.028
B-Al,2.34,2.7,2350.15,933.473,5,13,2.04,1.61,3,3,98.0,143.0,-0.129,-0.073,0.172,0.323,-0.065,0.349,0.02,0.062,7.87,1811.15,1.83,26,126.0,8,2.719135997574335,0.143
B-Si,2.34,2.3296,2350.15,1687.15,5,14,2.04,1.9,3,4,98.0,138.0,-0.138,-0.095,0.172,0.323,-0.065,0.295,0.125,0.004,7.87,1811.15,1.83,26,126.0,8,2.866637476943527,-0.026
B-P,2.34,2.69,2350.15,689.15,5,15,2.04,2.19,3,5,98.0,128.0,-0.145,-0.066,0.172,0.323,-0.065,0.369,0.256,-0.021,7.87,1811.15,1.83,26,126.0,8,3.024859428662868,-0.044
B-S,2.34,2.07,2350.15,388.36,5,16,2.04,2.58,3,6,98.0,127.0,-0.144,0.015,0.172,0.323,-0.065,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,3.146313496505097,0.2
B-Sc,2.34,2.99,2350.15,1814.15,5,21,2.04,1.36,3,3,98.0,162.0,-0.129,-0.472,0.172,0.323,-0.065,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.691765625888732,0.407
B-Ti,2.34,4.506,2350.15,1943.15,5,22,2.04,1.54,3,4,98.0,147.0,-0.122,-0.881,0.172,0.323,-0.065,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.6508090574541328,0.123
B-V,2.34,6.0,2350.15,2183.15,5,23,2.04,1.63,3,5,98.0,134.0,-0.115,-1.37,0.172,0.323,-0.065,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.578790986955976,-0.043
B-Cr,2.34,7.15,2350.15,2180.15,5,24,2.04,1.66,3,6,98.0,128.0,-0.113,-1.989,0.172,0.323,-0.065,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.624862974277194,-0.078
B-Mn,2.34,7.3,2350.15,1519.15,5,25,2.04,1.55,3,7,98.0,127.0,-0.106,-2.735,0.172,0.323,-0.065,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.550948452750782,0.047
