,Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
0,Be-Be,0.4701397712833545,0.0,0.2350698856416772,1.715846994535519,0.0,0.8579234972677595,-0.246,0.0,1.722828037434779,0.0,0.8614140187173895,0.3076923076923077,0.0,0.1538461538461538,1.7777777777777777,0.0,0.8888888888888888,0.214,0.0,0.288,0.0,-0.016,0.0,0.5,0.0,0.25,0.062
1,Be-B,0.5324015247776365,0.062261753494282,0.2662007623888182,1.9726775956284155,0.2568306010928961,0.9863387978142076,-0.258,0.004,2.1590149904756646,0.4361869530408856,1.0795074952378323,0.3461538461538461,0.0384615384615384,0.173076923076923,1.6666666666666667,0.1111111111111111,0.8333333333333334,0.2789999999999999,0.0649999999999999,0.4669999999999999,0.179,-0.073,0.057,0.625,0.125,0.3125,0.057
2,Be-Al,0.5781448538754765,0.1080050825921219,0.2890724269377382,1.7377049180327868,0.0218579234972677,0.8688524590163934,-0.191,0.0529999999999999,1.3768174916489522,0.3460105457858267,0.6884087458244761,0.6538461538461539,0.3461538461538461,0.3269230769230769,2.023809523809524,0.246031746031746,1.011904761904762,0.4559999999999999,0.242,0.1639999999999999,0.1239999999999999,0.054,0.07,0.625,0.125,0.3125,0.108
3,Be-Si,0.5310800508259212,0.0609402795425667,0.2655400254129606,1.896174863387978,0.1803278688524589,0.948087431693989,-0.203,0.0389999999999999,1.7929492311514783,0.0701211937166993,0.8964746155757392,0.6923076923076923,0.3846153846153846,0.3461538461538461,1.984126984126984,0.2063492063492063,0.992063492063492,0.4019999999999999,0.188,0.269,0.0189999999999999,-0.004,0.012,0.75,0.25,0.375,0.012
4,Be-P,0.576874205844981,0.1067344345616264,0.2884371029224905,2.054644808743169,0.3387978142076502,1.0273224043715845,-0.179,0.073,1.241918118322613,0.4809099191121663,0.6209590591613063,0.7307692307692307,0.4230769230769231,0.3653846153846153,1.9047619047619049,0.1269841269841269,0.9523809523809524,0.476,0.262,0.4,0.112,-0.029,0.013,0.875,0.375,0.4375,-0.032
5,Be-S,0.4980940279542566,0.0279542566709021,0.2490470139771283,2.26775956284153,0.5519125683060109,1.133879781420765,-0.119,0.153,1.0758413162907543,0.6469867211440244,0.5379206581453773,0.7692307692307693,0.4615384615384615,0.3846153846153846,1.8968253968253967,0.119047619047619,0.9484126984126984,0.6799999999999999,0.4659999999999999,0.521,0.233,-0.004,0.012,1.0,0.5,0.5,0.078
6,Be-Sc,0.6149936467598475,0.144853875476493,0.3074968233799237,1.6010928961748634,0.1147540983606557,0.8005464480874317,-0.648,0.374,1.8630704248681775,0.1402423874333986,0.9315352124340888,0.9615384615384616,0.6538461538461539,0.4807692307692308,2.1746031746031744,0.3968253968253968,1.0873015873015872,0.816,0.602,0.0229999999999999,0.265,0.072,0.088,0.625,0.125,0.3125,0.127
7,Be-Ti,0.8076238881829733,0.3374841168996188,0.4038119440914866,1.6994535519125684,0.0163934426229508,0.8497267759562842,-1.053,0.791,1.9342958893520688,0.2114678519172901,0.9671479446760346,1.0,0.6923076923076923,0.5,2.055555555555556,0.2777777777777778,1.0277777777777777,0.368,0.154,-0.016,0.304,0.008,0.024,0.75,0.25,0.375,-0.028
8,Be-V,0.9974587039390088,0.5273189326556544,0.4987293519695044,1.7486338797814207,0.0327868852459015,0.8743169398907104,-1.522,1.272,2.066808381415123,0.3439803439803439,1.0334041907075615,1.0384615384615383,0.7307692307692307,0.5192307692307693,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.163,0.051,0.0579999999999999,0.2299999999999999,-0.016,0.0,0.875,0.375,0.4375,-0.1
9,Be-Cr,1.1435832274459974,0.673443456162643,0.5717916137229987,1.7650273224043715,0.0491803278688523,0.8825136612021858,-2.037,1.8010000000000002,2.065151975264335,0.3423239378295558,1.0325759876321674,1.0769230769230769,0.7692307692307693,0.5384615384615384,1.9047619047619049,0.1269841269841269,0.9523809523809524,0.157,0.0569999999999999,0.149,0.1389999999999999,-0.01,0.006,1.0,0.5,0.5,-0.089
